"","N50"
"228",148.205355344474
"229",169.142250476653
"230",178.304668836134
"231",144.552271749153
"232",190.532195986678
"233",363.184348969706
"234",92.2243987105414
"235",302.042922896699
"236",83.1338101578201
"237",74.7937557347631
"238",193.213632144664
"239",184.006645774129
"240",173.587321327608
"241",178.304668836134
"242",96.9362447046597
"243",230.375441060516
"244",138.78296408502
"245",139.012878936926
"246",81.3833214546226
"247",74.4834809520574
"248",122.692175914444
"249",121.496558012576
"250",267.918271759688
"251",117.462733132398
"252",95.2638170553176
"253",136.821232305206
"254",157.147912105339
"255",223.456330340117
"256",233.619407551693
"257",199.532678645389
"258",73.429363520417
"259",164.963307873352
"260",122.750118434087
"261",141.296299283013
"262",149.995962224953
"263",96.3737526632042
"264",136.12732234209
"265",122.692175914444
"266",252.175930726837
"267",85.9702332140678
"268",70.8338032360446
"269",207.8097526774
"270",136.897754460828
"271",95.2638170553176
"272",144.552271749153
"273",220.567709809785
"274",111.113564963596
"275",96.0699589900694
"276",141.296299283013
"277",81.3833214546226
"278",202.323881303622
"279",99.08026523967
"280",122.750118434087
"281",257.056426384223
"282",241.103809684969
"283",77.7651795628309
"284",143.64852018362
"285",125.101693058131
"286",114.755137939376
"287",139.012878936926
"288",175.370843275589
"289",317.817442847687
"290",122.750118434087
"291",223.456330340117
"292",93.8296857208518
"293",147.371614757809
"294",175.370843275589
"295",64.3346986970086
"296",212.258839374734
"297",177.486167173287
"298",175.370843275589
"299",214.032908086784
"300",184.923006851867
"301",132.190546105722
"302",117.16843618111
"303",179.503855295412
"304",304.216958071542
"305",50.1110752956417
"306",151.364615670402
"307",212.258839374734
"308",214.032908086784
"309",224.347790496126
"310",175.983901367139
"311",105.116024869835
"312",93.5011950928781
"313",204.270380776996
"314",122.750118434087
"315",251.823889589777
"316",108.153162666195
"317",141.296299283013
"318",264.283766269483
"319",149.995962224953
"320",105.116024869835
"321",178.275136911926
"322",77.7840299829424
"323",95.2638170553176
"324",192.810464867088
"325",278.598778012207
"326",85.6294131040806
"327",157.492510711755
"328",148.205355344474
"329",96.9362447046597
"330",81.3833214546226
"331",77.7840299829424
"332",144.360784831837
"333",77.7651795628309
"334",73.429363520417
"335",207.545140046357
"336",192.810464867088
"337",74.1592912093616
"338",104.255610804627
"339",218.465076767527
"340",88.7206283162328
"341",144.360784831837
"342",252.175930726837
"343",92.2243987105414
"344",122.692175914444
"345",64.3346986970086
"346",96.0699589900694
"347",121.496558012576
"348",144.360784831837
"349",70.1159789893265
"350",105.116024869835
"351",216.98041965326
"352",176.570083097847
"353",272.516337750308
"354",202.627727797962
"355",141.296299283013
"356",125.101693058131
"357",226.316524493065
"358",122.067957364315
"359",139.028185213322
"360",77.0563251447251
"361",263.237620310765
"362",263.721391205395
"363",163.40826199631
"364",263.721391205395
"365",139.012878936926
"366",67.2128343831336
"367",179.902036073926
"368",167.977412049066
"369",85.9702332140678
"370",95.2638170553176
"371",215.961552458696
"372",127.156847000877
"373",178.275136911926
"374",130.372463208369
"375",226.284179150825
"376",95.2638170553176
"377",84.6224575898135
"378",163.40826199631
"379",112.475029690308
"380",437.399807875456
"381",63.7483847928215
"382",175.370843275589
"383",139.028185213322
"384",108.153162666195
"385",202.323881303622
"386",255.256074268573
"387",111.113564963596
"388",184.923006851867
"389",77.0563251447251
"390",122.067957364315
"391",106.325166518032
"392",242.213537644546
"393",95.2638170553176
"394",96.9362447046597
"395",85.6294131040806
"396",178.275136911926
"397",114.215534289637
"398",111.113564963596
"399",124.447869535553
"400",207.8097526774
"401",179.503855295412
"402",81.3833214546226
"403",124.447869535553
"404",74.1592912093616
"405",231.963147213079
"406",128.07261431177
"407",179.950397729243
"408",220.567709809785
"409",187.754345071017
"410",189.164214140523
"411",133.669923288522
"412",124.782411929089
"413",149.995962224953
"414",130.372463208369
"415",124.447869535553
"416",136.821232305206
"417",122.067957364315
"418",96.3737526632042
"419",177.486167173287
"420",84.8195966551447
"421",104.255610804627
"422",149.995962224953
"423",155.897284125284
"424",144.552271749153
"425",96.9362447046597
"426",164.963307873352
"427",96.9362447046597
"428",184.923006851867
"429",164.963307873352
"430",122.692175914444
"431",122.750118434087
