"","alpha"
"297",3.21585397885859
"298",6498.27974291118
"299",9220.31208306689
"300",7386.05361274024
"301",1527.98162883039
"302",1.7787012560849
"303",5852.0962553504
"304",3249.97566369385
"305",0.373269390202395
"306",0.696714519676241
"307",1.84549576880239
"308",9220.31208306689
"309",5.50547003898248
"310",2.45074587603692
"311",3232.58031248093
"312",11831.5696634094
"313",3267.67299799102
"314",5.32526937770923
"315",1.13487424174564
"316",3043.72052978706
"317",5333.53600658563
"318",4.89627302274882
"319",4.58507296592562
"320",3232.58031248093
"321",7572.52311301028
"322",12460.1666620074
"323",2.14641504757567
"324",0.745329047468737
"325",5529.19483958561
"326",5.99455163921656
"327",0.862412461479308
"328",3.16017585353735
"329",16046.5367668576
"330",24320.5439408102
"331",12460.1666620074
"332",10539.744470078
"333",0.802895287119714
"334",1.57859391769973
"335",1.43249956395572
"336",0.745329047468737
"337",0.722582268589712
"338",0.995766581367851
"339",4.09154357912569
"340",1.27785447006653
"341",10539.744470078
"342",6552.21065819161
"343",1.59925343733749
"344",4.03593632088315
"345",0.535371947980304
"346",2.05603148049869
"347",2.95477654327555
"348",10539.744470078
"349",0.604863375608001
"350",3232.58031248093
"351",5647.46150591293
"352",3585.84097707182
"353",233.462223325529
"354",10225.3087023352
"355",5333.53600658563
"356",21995.5165286438
"357",1345.99569796561
"358",14478.2861973349
"359",0.50513704158466
"360",0.26775345044518
"361",2961.41563007118
"362",2.52029112393029
"363",27949.9813256344
"364",2.52029112393029
"365",1.67502633143017
"366",31705.972092404
"367",0.500579535429803
"368",1.34442309125643
"369",11.49109622564
"370",2.14641504757567
"371",2.69014374322049
"372",0.890175177713031
"373",7572.52311301028
"374",13389.1190577794
"375",36.9811599988887
"376",2.14641504757567
"377",1.05691575870629
"378",27949.9813256344
"379",1.50594610998397
"380",1232.95505387531
"381",0.908091529326724
"382",6498.27974291118
"383",0.50513704158466
"384",3043.72052978706
"385",1.08340997600048
"386",5012.41146774855
"387",2213.17348836746
"388",7386.05361274024
"389",0.26775345044518
"390",14478.2861973349
"391",1.08593268924292
"392",15299.7358532875
"393",2.14641504757567
"394",16046.5367668576
"395",5.99455163921656
"396",7572.52311301028
"397",12510.2048642835
"398",2213.17348836746
"399",0.820055849928347
"400",1.53007128553864
"401",5852.0962553504
"402",24320.5439408102
"403",0.820055849928347
"404",0.722582268589712
"405",5546.41255187489
"406",8372.68695747764
"407",2.95362719779502
"408",3857.57844078927
"409",7401.11231471687
"410",12634.7557822374
"411",13084.1751988487
"412",0.815879373733023
"413",4.58507296592562
"414",13389.1190577794
"415",0.820055849928347
"416",1.32090314599132
"417",14478.2861973349
"418",2.72021595892743
"419",3.21585397885859
"420",10889.5995371543
"421",0.995766581367851
"422",4.58507296592562
"423",251.342033318108
"424",2.12346904991041
"425",16046.5367668576
"426",1.16446658145586
"427",16046.5367668576
"428",7386.05361274024
"429",1.16446658145586
"430",4.03593632088315
"431",5.32526937770923
"432",5.37884742775844
"433",8440.58972241042
"434",0.703677674873405
"435",11831.7434436283
"436",2.95477654327555
"437",1.7566213237072
"438",12510.2048642835
"439",388.662754921141
"440",4499.38455662663
"441",1.50594610998397
"442",1472.89474033712
"443",1663.45861649465
"444",5333.53600658563
"445",3.16017585353735
"446",0.841409573890276
"447",11831.5696634094
"448",10138.6761869345
"449",3.16017585353735
"450",0.709896046230673
"451",1345.99569796561
"452",4312.34304220335
"453",11831.7434436283
"454",995.150323111363
"455",3857.57844078927
"456",1.34724232671553
"457",4.58507296592562
"458",1.16777222871604
"459",4.09154357912569
"460",10539.744470078
"461",7401.11231471687
"462",6498.27974291118
"463",14478.2861973349
"464",22114.3735584039
"465",0.609906355804134
"466",5.32526937770923
"467",6498.27974291118
"468",1134.79495507789
"469",5.37884742775844
"470",361.860450951858
"471",2157.60402842485
"472",1.34724232671553
"473",1.29040748330602
"474",0.665398087096309
"475",1.7787012560849
"476",7386.05361274024
"477",2633.31034706123
"478",1.50594610998397
"479",5647.46150591293
"480",7386.05361274024
"481",13084.1751988487
"482",251.342033318108
"483",10539.744470078
"484",3043.72052978706
"485",4499.38455662663
"486",21995.5165286438
"487",301.593919076618
"488",1.08593268924292
"489",1.02841091807931
"490",1.50594610998397
"491",0.745329047468737
"492",16108.3990475276
"493",10894.0021121599
"494",3585.84097707182
"495",2.95477654327555
"496",2.69014374322049
"497",5333.53600658563
"498",24320.5439408102
"499",4.58507296592562
"500",2.12346904991041
"501",0.815879373733023
"502",7401.11231471687
"503",4.03593632088315
"504",1.50594610998397
"505",12510.2048642835
"506",0.837225584856119
"507",6.94282530065884
"508",0.768629922415638
"509",1.57859391769973
"510",18050.8893969539
"511",0.962521189210458
"512",10889.5995371543
"513",6417.18216155845
"514",0.30925187143119
"515",2633.31034706123
"516",3585.84097707182
"517",5485.55680776442
"518",0.296758267765235
"519",1.68290778367908
"520",0.858707745405177
"521",1.16446658145586
"522",9220.31208306689
"523",1.0979700843208
"524",1.34724232671553
"525",3.16017585353735
"526",1.34442309125643
"527",13084.1751988487
"528",3857.57844078927
"529",4312.34304220335
"530",1.27785447006653
"531",4.03593632088315
"532",12460.1666620074
"533",2.95362719779502
"534",1.48598576168991
"535",7000.45888983478
"536",4312.34304220335
"537",0.579679396452257
"538",13389.1190577794
"539",21995.5165286438
"540",0.709896046230673
"541",3.16017585353735
"542",12510.2048642835
"543",0.812843902521133
"544",6.94282530065884
"545",275.416055367566
"546",233.462223325529
