"","x"
"228",4364.94508466864
"229",4957.99680885454
"230",4924.75309253853
"231",2126.44279625577
"232",6115.03429788365
"233",4924.75309253853
"234",8283.52229555195
"235",6115.03429788365
"236",4082.50620388048
"237",4137.61797082963
"238",5287.243080984
"239",4108.88982871759
"240",2482.81143995703
"241",2455.41396857433
"242",4957.99680885454
"243",4137.61797082963
"244",4137.61797082963
"245",8283.52229555195
"246",3807.23272631866
"247",4957.99680885454
"248",6437.75209723346
"249",1607.22828043401
"250",4108.88982871759
"251",5287.243080984
"252",6115.03429788365
"253",48.7447243244433
"254",6437.75209723346
"255",1607.22828043401
"256",3189.90284749835
"257",5254.82356865871
"258",3837.87586133242
"259",3524.40990246574
"260",2924.83627683236
"261",3245.63890627863
"262",8283.52229555195
"263",3217.81763247261
"264",4082.50620388048
"265",4108.88982871759
"266",5287.243080984
"267",4924.75309253853
"268",6437.75209723346
"269",1730.82249757203
"270",3524.40990246574
"271",4392.20085690951
"272",2126.44279625577
"273",4625.5752354744
"274",3837.87586133242
"275",4108.88982871759
"276",4625.5752354744
"277",4108.88982871759
"278",5222.18883184907
"279",4924.75309253853
"280",4108.88982871759
"281",3217.81763247261
"282",1381.62898454125
"283",1730.82249757203
"284",4957.99680885454
"285",4924.75309253853
"286",3217.81763247261
"287",3837.87586133242
"288",2482.81143995703
"289",4175.3154452326
"290",11120.0443923474
"291",6476.26655485911
"292",5287.243080984
"293",1368.26140299246
"294",6115.03429788365
"295",6476.26655485911
"296",3189.90284749835
"297",4924.75309253853
"298",3389.43903714537
"299",2482.81143995703
"300",4364.94508466864
"301",6115.03429788365
"302",2126.44279625577
"303",4924.75309253853
"304",4175.3154452326
"305",3837.87586133242
"306",5222.18883184907
"307",3807.23272631866
"308",6476.26655485911
"309",6115.03429788365
"310",3217.81763247261
"311",6115.03429788365
"312",4924.75309253853
"313",4957.99680885454
"314",2508.04909922556
"315",4137.61797082963
"316",4108.88982871759
"317",4108.88982871759
"318",5254.82356865871
"319",3002.31290143194
"320",8283.52229555195
"321",4957.99680885454
"322",1730.82249757203
"323",3389.43903714537
"324",3807.23272631866
"325",4082.50620388048
"326",4957.99680885454
"327",4957.99680885454
"328",6437.75209723346
"329",1730.82249757203
"330",5254.82356865871
"331",1607.22828043401
"332",4137.61797082963
"333",4625.5752354744
"334",5287.243080984
