,k
668,0.006251347
669,0.005316982
670,0.002806933
671,0.004261206
672,0.003925679
673,0.005132541
674,0.004577776
675,0.00351509
676,0.003392933
677,0.004234615
678,0.005362095
679,0.003748147
680,0.006068656
681,0.004433564
682,0.00354302
683,0.003925679
684,0.00416234
685,0.005411939
686,0.006251347
687,0.008171782
688,0.006414984
689,0.005242196
690,0.004905593
691,0.007000204
692,0.00363724
693,0.004661478
694,0.003570981
695,0.007150442
696,0.003045428
697,0.006237018
698,0.003121546
699,0.002541674
700,0.004831855
701,0.003238434
702,0.003284019
703,0.003008913
704,0.005060619
705,0.00573094
706,0.003570981
707,0.007211954
708,0.005640413
709,0.002853444
710,0.002997827
711,0.004521603
712,0.003691629
713,0.00525897
714,0.008516966
715,0.00516537
716,0.004364544
717,0.005766594
718,0.007150442
719,0.00525897
720,0.004905593
721,0.004408446
722,0.004002475
723,0.003920152
724,0.003748147
725,0.002961832
726,0.006237018
727,0.00315872
728,0.004962591
729,0.00354302
730,0.004582096
731,0.004261206
732,0.004744704
733,0.004661478
734,0.003691629
735,0.003420755
736,0.003570981
737,0.003691629
738,0.002842176
739,0.009821324
740,0.003952268
741,0.002715428
742,0.003748147
743,0.004261206
744,0.004479696
745,0.003284019
746,0.004191093
747,0.004905593
748,0.004191093
749,0.003081694
750,0.008703192
751,0.008516966
752,0.007113648
753,0.005362095
754,0.003194405
755,0.007113648
756,0.005640413
757,0.003943379
758,0.005063447
759,0.004703447
760,0.004577776
761,0.003815712
762,0.003570981
763,0.003558945
764,0.003444583
765,0.006055238
766,0.003886445
767,0.003691629
768,0.002303152
769,0.008383902
770,0.002121798
771,0.002348285
772,0.005316982
773,0.003284019
774,0.004905593
775,0.005678245
776,0.005863622
777,0.00525897
778,0.00590085
779,0.003887118
780,0.005316982
781,0.007211954
782,0.00525897
783,0.002997827
784,0.004807107
785,0.005678245
786,0.005678245
787,0.005185779
788,0.006932892
789,0.003936439
790,0.003284019
791,0.00297328
792,0.004191093
793,0.00449209
794,0.00592679
795,0.007150442
796,0.004439206
797,0.00416234
798,0.003521187
799,0.003943379
800,0.00354302
801,0.004439206
802,0.006237018
803,0.002853444
804,0.005540591
805,0.003121546
806,0.004905593
807,0.007443208
808,0.002988112
809,0.003196038
810,0.005411939
811,0.003992993
812,0.002514406
813,0.00590085
814,0.004801586
815,0.004408446
816,0.003713098
817,0.004962591
818,0.004479696
819,0.003444583
820,0.004905593
821,0.002268892
822,0.007211954
823,0.007443208
824,0.00354302
825,0.002997827
826,0.002646534
827,0.003943379
828,0.004801586
829,0.004039524
830,0.003008913
831,0.003284019
832,0.00592679
833,0.0041239
834,0.003713098
835,0.008096334
836,0.002268892
837,0.006414984
838,0.003943379
839,0.004582096
840,0.007413081
841,0.005185779
842,0.003604158
843,0.003943379
844,0.008950201
845,0.004191093
846,0.004962591
847,0.004505443
848,0.006408051
849,0.00449209
850,0.003101684
851,0.001975894
852,0.005362095
853,0.005185779
854,0.00573094
855,0.004191093
856,0.003521187
857,0.001975894
858,0.004153153
859,0.003992993
860,0.00242257
861,0.0043607
862,0.006576897
863,0.004241791
864,0.003952268
865,0.003284019
866,0.002589263
867,0.002475267
868,0.003284019
869,0.005766594
870,0.0041239
871,0.004002475
872,0.004191093
873,0.003142387
874,0.002997827
875,0.003925679
876,0.003016035
877,0.003234435
878,0.006576897
879,0.002514406
880,0.002886204
881,0.003967644
882,0.003925679
883,0.00573094
884,0.003920152
885,0.002207637
886,0.005640413
887,0.002603293
888,0.004582096
889,0.003101684
890,0.002142495
891,0.003602713
892,0.004543054
893,0.005863622
894,0.002741211
895,0.003101684
896,0.003253091
897,0.00363724
898,0.004543054
899,0.003748147
900,0.00552149
901,0.002398333
902,0.005337101
903,0.003748147
904,0.003691629
905,0.005863622
906,0.008911014
907,0.005640413
908,0.004433564
909,0.003748147
910,0.004744704
911,0.005540591
912,0.006576897
913,0.003142387
914,0.003925679
915,0.009785249
916,0.006576897
917,0.003305368
918,0.006251347
919,0.003691629
920,0.004744704
921,0.007211954
922,0.004439206
923,0.00592679
924,0.005058692
925,0.004744704
926,0.005805391
927,0.002150368
928,0.008516966
929,0.004521603
930,0.005030804
931,0.005030804
932,0.006055238
933,0.004191093
934,0.003284019
935,0.004944045
936,0.003925679
937,0.003473838
938,0.0050302
939,0.003604158
940,0.003691629
941,0.005678245
942,0.003101684
943,0.003713098
944,0.003473838
945,0.005060619
946,0.0043607
947,0.005470793
948,0.004191093
949,0.003473838
950,0.003748147
951,0.005540591
952,0.003369715
953,0.005132541
954,0.004744704
955,0.003748147
956,0.005766594
957,0.004887176
958,0.004744704
959,0.005540591
960,0.00221898
961,0.005132541
962,0.004439206
963,0.007150442
964,0.003920152
965,0.004345652
966,0.006237018
967,0.00175011
968,0.006408051
969,0.00274861
970,0.005362095
971,0.0041239
972,0.003748147
973,0.0028617
974,0.005540591
975,0.004831855
976,0.002879652
977,0.004703447
978,0.004521603
979,0.004433564
980,0.003008913
981,0.004905593
982,0.006913943
983,0.005640413
984,0.005690395
985,0.004905593
986,0.003887118
987,0.007443208
988,0.004261206
989,0.002432823
990,0.003493776
991,0.004241791
992,0.004781368
993,0.005640413
994,0.005540591
995,0.008351053
996,0.005470793
997,0.004521603
998,0.002447383
999,0.004261206
1000,0.006408051
1001,0.004340033
